Ind. No.,C/R,Sex,Status,Error,Age-mat.,Age-total,Age-final,Habitat,Date,Month,Year,Time of day,Behaviour,BM,SH,SCL,MCW,MaxCW,MPL,MaxPL,AbSL,AnSL,ANW,BL_L,BL_R,Scars / Damages,Ticks,Notes ,,,,,,,,,,,,
237,C,M,Adult,NO,10,17,,Degraded forest+Pine forest,11/05/2021,May,2021,10:59:46,Moving,839,78,157,132,142,,,,,,,,,35,,,,,,,,,,,,,
238,C,M,Adult,NO,12,17,17,Degraded forest+Pine forest,11/05/2021,May,2021,11:11:33,Moving,973,84,167,130,137,,,,,,,,,13,2&3 L vertebral asymmetric,,,,,,,,,,,,
238,R,M,Adult,NO,12,17,17,Degraded forest,24/06/2021,June,2021,10:37:07,Feeding,1017,84,167,130,137,,,,,,,,,20,,,,,,,,,,,,,
239,C,M,Adult,NO,11,13,,Degraded forest,11/05/2021,May,2021,11:36:42,Moving,673,75,149,116,125,,,,,,,,,0,,,,,,,,,,,,,
240,C,M,Adult,NO,11,18,,Degraded forest,11/05/2021,May,2021,12:52:48,Resting in shade,1118,77,176,136,147,,,,,,,,,11,,,,,,,,,,,,,
241,C,F,Adult,NO,11,13,,Degraded forest,11/05/2021,May,2021,13:00:41,Resting in shade,746,79,147,113,114,,,,,,,,,3,6 vertebral. 6 L & R costal. 10R marginal.,,,,,,,,,,,,
242,C,F,Immature,NO,,10,,Degraded forest,11/05/2021,May,2021,13:10:28,Resting in shade,382,63,119,91,92,104,109,39,16,22,56,57,,7,how cuuute,,,,,,,,,,,,
243,C,M,Adult,NO,12,13,,Degraded forest,11/05/2021,May,2021,13:18:42,Resting in shade,703,75,153,133,131,,,,,,,,,2,,,,,,,,,,,,,
244,C,M,Adult,NO,12,15,,Degraded forest,11/05/2021,May,2021,16:22:57,Moving,687,81,150,120,127,,,,,,,,,3,,,,,,,,,,,,,
245,C,F,Adult,NO,13,16,,Degraded forest+Pine forest,11/05/2021,May,2021,16:32:45,Basking,1190,94,175,138,140,,,,,,,,,4,2-4 R marginals appear merged,,,,,,,,,,,,
246,C,F,Adult,NO,12,13,,Degraded forest+Pine forest,11/05/2021,May,2021,16:40:25,Resting in shade,1212,93,180,127,135,,,,,,,,,3,,,,,,,,,,,,,
247,C,M,Adult,NO,,"15-25, >25",,Degraded forest+Pine forest,11/05/2021,May,2021,16:48:53,Feeding,1120,92,177,137,149,,,,,,,,,4,1&2 L marginals missing pieces,,,,,,,,,,,,
248,C,M,Adult,NO,,10,,Degraded forest,11/05/2021,May,2021,16:59:35,Moving,672,80,140,116,118,,,,,,,,"Carapace, Plastron",2,,,,,,,,,,,,,
249,C,M,Adult,NO,,10,,Degraded forest,11/05/2021,May,2021,17:54:36,Burrowed,560,76,149,114,122,121,134,44,16,43,60,60,,0,Missing nail on both hind legs.,,,,,,,,,,,,
250,C,M,Adult,NO,11,13,,Road,12/05/2021,May,2021,11:57:21,Moving,895,83,158,125,129,,,,,,,,,8,,,,,,,,,,,,,
251,C,M,Immature,NO,,9,,Degraded forest,12/05/2021,May,2021,13:09:09,Resting in shade,569,71,136,108,114,108,119,40,16,38,55,55,,0,,,,,,,,,,,,,
252,C,M,Adult,NO,12,14,,Degraded forest,12/05/2021,May,2021,13:15:15,Resting in shade,666,78,147,113,120,,,,,,,,,4,missing front left leg,,,,,,,,,,,,
253,C,M,Adult,NO,13,17,,Degraded forest,12/05/2021,May,2021,13:19:47,Resting in shade,864,79,162,122,134,,,,,,,,,0,,,,,,,,,,,,,
254,C,M,Adult,NO,11,14,,Degraded forest,12/05/2021,May,2021,13:23:46,Resting in shade,878,84,154,128,135,,,,,,,,,0,,,,,,,,,,,,,
255,C,M,Adult,NO,,11,,Degraded forest,12/05/2021,May,2021,13:27:13,Resting in shade,560,70,132,109,111,,,,,,,,,0,,,,,,,,,,,,,
256,C,F,Adult,NO,,12,,Degraded forest,12/05/2021,May,2021,13:36:44,Resting in shade,834,79,159,118,120,,,,,,,,,6,,,,,,,,,,,,,
257,C,F,Adult,NO,11,14,,Degraded forest,12/05/2021,May,2021,13:40:26,Feeding,1137,88,180,139,147,,,,,,,,,12,,,,,,,,,,,,,
258,C,M,Adult,NO,11,13,,Degraded forest,12/05/2021,May,2021,13:44:42,Resting in shade,765,80,151,116,123,,,,,,,,,0,,,,,,,,,,,,,
259,C,F,Immature,NO,,"5, 7",,Degraded forest,12/05/2021,May,2021,14:17:58,Resting in shade,345,59,113,91,90,99,106,36,15,28,53,51,,0,,,,,,,,,,,,,
260,C,F,Adult,NO,,12,12,Degraded forest,12/05/2021,May,2021,14:27:36,Basking,1033,88,168,128,134,,,,,,,,,3,9R marginal damaged,,,,,,,,,,,,
260,R,F,Adult,NO,,11,12,Degraded forest,29/05/2021,May,2021,14:01:05,Basking,1101,88,170,128,133,,,,,,,,,0,,,,,,,,,,,,,
261,C,F,Adult,NO,,15-25,,Pine forest,12/05/2021,May,2021,14:49:25,Basking,1194,96,175,132,140,,,,,,,,,0,,,,,,,,,,,,,
262,C,M,Adult,NO,,15-25,,Pine forest,12/05/2021,May,2021,15:01:06,Resting in shade,956,85,161,139,140,,,,,,,,"Marginals, Plastron",0,"L&R 9&10 marginals especially damaged, yellowish shell",,,,,,,,,,,,
263,C,F,Adult,NO,,11,,Pine forest,12/05/2021,May,2021,15:08:25,Resting in shade,540,71,135,105,105,,,,,,,,,0,second vertebral damaged ,,,,,,,,,,,,
264,C,F,Adult,NO,11,12,,Pine forest,12/05/2021,May,2021,15:16:16,Basking,1316,95,183,134,136,,,,,,,,,0,starlike first vertebral,,,,,,,,,,,,
265,C,M,Adult,NO,,15-25,,Pine forest,12/05/2021,May,2021,15:23:03,Feeding,1272,93,186,138,151,,,,,,,,Carapace,0,broken 11 right marginal,,,,,,,,,,,,
266,C,F,Adult,NO,,17,,Degraded forest,13/05/2021,May,2021,12:59:43,Resting in shade,1875,104,209,154,155,,,,,,,,,0,yellow plastron. 3 4 & 5 vertebral & 4L scute damaged,,,,,,,,,,,,
267,C,F,Adult,NO,11,18,,Degraded forest,13/05/2021,May,2021,13:09:36,Feeding,1606,100,198,148,149,,,,,,,,,9,yellow shell,,,,,,,,,,,,
268,C,M,Adult,NO,10,15-25,,Degraded forest,13/05/2021,May,2021,14:08:06,Basking,1165,90,181,140,152,,,,,,,,,0,missing a piece from 1L marginal. 23 yo. ,,,,,,,,,,,,
269,C,F,Adult,NO,13,18,,Degraded forest,13/05/2021,May,2021,14:16:03,Moving,1390,91,186,138,146,,,,,,,,,0,,,,,,,,,,,,,
270,C,M,Adult,NO,13,15-25,,Degraded forest,13/05/2021,May,2021,16:22:18,Moving,1078,87,172,138,145,,,,,,,,,0,Nuchal not visible from above. 21 yo.,,,,,,,,,,,,
271,C,F,Adult,NO,,15-25,,Opening+Urban,17/05/2021,May,2021,11:00:29,Moving,1717,102,204,152,156,,,,,,,,,0,"1, 2 & 9L marginals demaged ",,,,,,,,,,,,
272,C,M,Adult,NO,12,14,,Degraded forest,17/05/2021,May,2021,12:33:29,Feeding,1187,92,173,141,151,,,,,,,,,0,,,,,,,,,,,,,
273,C,M,Adult,NO,11,12,,Degraded forest,17/05/2021,May,2021,12:40:49,Moving,623,75,149,116,124,,,,,,,,,0,,,,,,,,,,,,,
274,C,M,Adult,NO,0,15-25,,Degraded forest,17/05/2021,May,2021,12:46:37,Moving,897,80,159,131,139,,,,,,,,,5,,,,,,,,,,,,,
275,C,M,Adult,NO,11,15,,Degraded forest,17/05/2021,May,2021,12:51:58,Moving,910,84,162,130,133,,,,,,,,,7,,,,,,,,,,,,,
276,C,F,Immature,NO,,9,,Degraded forest,17/05/2021,May,2021,13:05:01,Moving,367,62,116,96,96,102,109,35,13,33,55,54,,4,,,,,,,,,,,,,
277,C,F,Immature,NO,,9,,Degraded forest,17/05/2021,May,2021,13:19:40,Moving,651,76,140,109,110,124,131,45,20,30,64,65,,3,"yellow marginals 5,6,7R/L",,,,,,,,,,,,
278,C,M,Adult,NO,11,13,,Degraded forest,17/05/2021,May,2021,13:37:45,Moving,812,79,156,123,129,,,,,,,,,,2 & 3L looks like one,,,,,,,,,,,,
279,C,F,Adult,NO,,15-25,,Degraded forest,17/05/2021,May,2021,13:55:30,Moving,1626,98,203,151,150,,,,,,,,,0,,,,,,,,,,,,,
280,C,F,Adult,NO,11,12,,Degraded forest,17/05/2021,May,2021,14:05:07,Moving,1411,94,186,143,147,,,,,,,,,0,yellow shell ,,,,,,,,,,,,
281,C,M,Adult,NO,10,12,,Degraded forest,17/05/2021,May,2021,14:14:22,Moving,657,75,147,117,120,,,,,,,,,0,,,,,,,,,,,,,
282,C,F,Adult,NO,,15-25,,Degraded forest,17/05/2021,May,2021,14:20:15,Resting in shade,1538,97,190,148,147,,,,,,,,,0,yellow shell ,,,,,,,,,,,,
284,C,M,Adult,NO,11,15,,Degraded forest,17/05/2021,May,2021,14:36:52,Moving,1255,91,175,143,153,,,,,,,,,0,,,,,,,,,,,,,
285,C,F,Adult,NO,,13,,Degraded forest,17/05/2021,May,2021,14:39:54,Resting in shade,1264,93,179,133,142,,,,,,,,,0,,,,,,,,,,,,,
286,C,M,Adult,NO,12,16,16,Degraded forest,17/05/2021,May,2021,14:46:17,Resting in shade,1022,87,165,130,134,,,,,,,,,0,,,,,,,,,,,,,
286,R,M,Adult,NO,12,16,16,Degraded forest,29/05/2021,May,2021,11:07:07,Feeding,1023,87,165,130,135,,,,,,,,,5,1 vertebral starlike ,,,,,,,,,,,,
287,C,F,Adult,NO,,15-25,,Degraded forest,17/05/2021,May,2021,14:50:44,Resting in shade,1137,87,177,132,138,,,,,,,,,0,,,,,,,,,,,,,
288,C,F,Immature,NO,,8,,Degraded forest,17/05/2021,May,2021,14:56:09,Resting in shade,333,61,112,92,96,97,103,38,15,29,51,49,,0,,,,,,,,,,,,,
289,C,F ,Immature,NO,,7,,Degraded forest,17/05/2021,May,2021,15:01:22,Resting in shade,291,56,108,90,91,93,100,35,11,24,48,49,,0,,,,,,,,,,,,,
290,C,F,Immature,NO,,6,,Degraded forest,17/05/2021,May,2021,15:07:01,Resting in shade,199,50,92,85,82,81,86,30,11,23,43,47,,0,"missing pieces from 5,6 & 8R marginal ",,,,,,,,,,,,
291,C,M,Adult,NO,,15-25,,Degraded forest,17/05/2021,May,2021,17:25:42,Resting in shade,1145,89,178,137,151,,,,,,,,,18,"Broken 3,4,5 vertebrale and supracaudal",,,,,,,,,,,,
292,C,F,Adult,NO,12,14,14,Degraded forest,17/05/2021,May,2021,17:35:39,Burrowed,1323,94,183,138,143,,,,,,,,,0,,,,,,,,,,,,,
292,R,F,Adult,NO,12,14,14,Degraded forest,22/06/2021,June,2021,12:32:16,Moving,1255,94,186,138,143,,,,,,,,,16,,,,,,,,,,,,,
293,C,F,Adult,NO,,15-25,15-25,Degraded forest,22/05/2021,May,2021,12:17:04,Moving,1614,97,199,144,146,,,,,,,,,0,6 total vertebral. 3-6 vertebral asymmetric.,,,,,,,,,,,,
293,R,F,Adult,NO,,15-25,15-25,Meadow,23/06/2021,June,2021,08:09:07,Basking,1649,97,197,145,145,,,,,,,,,30,6 vertebrals.,,,,,,,,,,,,
294,C,M,Adult,NO,11,12,,Degraded forest,22/05/2021,May,2021,12:33:29,Basking,845,80,157,124,130,,,,,,,,,12,,,,,,,,,,,,,
295,C,M,Adult,NO,12,14,,Degraded forest+Pine forest,22/05/2021,May,2021,13:05:20,Basking,974,83,167,126,132,,,,,,,,,7,,,,,,,,,,,,,
296,C,F,Adult,NO,13,17,,Degraded forest+Pine forest,22/05/2021,May,2021,13:13:17,Basking,1575,100,NA,144,144,,,,,,,,,0,4&5 vertebral asymmetric (5 quite wide). L 12 total marginals. R 10 total marginals.,,,,,,,,,,,,
297,C,M,Adult,NO,13,18,,Degraded forest+Pine forest,22/05/2021,May,2021,13:20:00,Resting in shade,1113,88,170,136,141,,,,,,,,,5,,,,,,,,,,,,,
298,C,M,Adult,NO,,15-25,,Degraded forest+Pine forest,22/05/2021,May,2021,15:17:47,Resting in shade,1164,88,175,138,146,,,,,,,,,0,,,,,,,,,,,,,
299,C,M,Adult,NO,,11,,Degraded forest+Pine forest,22/05/2021,May,2021,15:22:00,Feeding,614,73,136,109,114,,,,,,,,Plastron,0,,,,,,,,,,,,,
300,C,F,Adult,NO,,12,,Degraded forest+Pine forest,22/05/2021,May,2021,16:15:11,Feeding,1063,84,167,124,133,,,,,,,,,5,,,,,,,,,,,,,
301,C,M,Adult,NO,13,18,,Degraded forest+Pine forest,22/05/2021,May,2021,16:19:43,Resting in shade,879,80,157,124,129,,,,,,,,,0,,,,,,,,,,,,,
302,C,F,Adult,NO,12,14,,Degraded forest+Pine forest,22/05/2021,May,2021,16:36:28,Mating,795,81,156,112,121,,,,,,,,,0,"6 total vertebral, 3-5 asymmetric. 12L marginals. Mating with 298.",,,,,,,,,,,,
303,C,M,Adult,NO,13,14,,Degraded forest+Pine forest,22/05/2021,May,2021,16:44:14,Basking,1002,89,167,130,143,,,,,,,,,0,,,,,,,,,,,,,
304,C,M,Adult,NO,,15-25,,Degraded forest+Pine forest,22/05/2021,May,2021,16:50:59,Basking,1016,83,175,132,139,,,,,,,,Carapace,0,,,,,,,,,,,,,
305,C,M,Adult,NO,10,12,,Degraded forest+Pine forest,22/05/2021,May,2021,16:56:37,Moving,621,72,141,114,123,,,,,,,,,7,1L marginal broken.,,,,,,,,,,,,
306,C,M,Adult,NO,12,17,,Degraded forest+Pine forest,22/05/2021,May,2021,17:14:03,Basking,882,81,160,129,136,,,,,,,,,0,,,,,,,,,,,,,
306,R,M,Adult,NO,12,15,,Degraded forest,03/06/2021,June,2021,14:44:30,Feeding,872,81,160,129,136,,,,,,,,,0,,,,,,,,,,,,,
307,C,F,Immature,NO,,3,,Meadow,23/05/2021,May,2021,17:39:45,Burrowed,52,30,60,51,50,54,55,21,7,11,31,31,,0,,,,,,,,,,,,,
308,C,M,Immature,NO,,3,,Meadow,23/05/2021,May,2021,17:49:42,Burrowed,46,30,55,49,48,50,52,19,7,10,28,28,,0,,,,,,,,,,,,,
309,C,M,Immature,NO,,4,,Meadow,23/05/2021,May,2021,18:01:23,Burrowed,42,30,53,48,47,47,49,18,6,11,28,27,,0,,,,,,,,,,,,,
310,C,M,Adult,NO,,11,,Meadow,23/05/2021,May,2021,18:07:02,Moving,707,75,148,115,119,,,,,,,,,0,1&2R marginal slightly damaged. Mating with 11.,,,,,,,,,,,,
311,C,F,Adult,NO,,15-25,,Meadow,23/05/2021,May,2021,18:14:54,Moving,1436,95,192,149,154,,,,,,,,,0,,,,,,,,,,,,,
312,C,M,Immature,NO,,3,,Meadow,23/05/2021,May,2021,18:28:11,Burrowed,39,27,52,47,47,48,50,19,7,11,28,28,,0,,,,,,,,,,,,,
313,C,M,Immature,NO,,3,,Meadow,23/05/2021,May,2021,18:39:50,Burrowed,37,28,50,45,45,48,49,18,6,10,27,27,,0,,,,,,,,,,,,,
314,C,F,Adult,NO,12,14,,Road+Degraded forest,25/05/2021,May,2021,17:37:57,Moving,1125,85,175,132,137,,,,,,,,,0,,,,,,,,,,,,,
315,C,F,Adult,NO,12,19,,Degraded forest+Pine forest,25/05/2021,May,2021,17:49:04,Chasing,1415,94,183,137,143,,,,,,,,,0,Chased by 316.,,,,,,,,,,,,
316,C,M,Adult,NO,11,13,,Degraded forest+Pine forest,25/05/2021,May,2021,17:54:33,Chasing,857,80,158,122,127,,,,,,,,,0,Chasing 315.,,,,,,,,,,,,
317,C,M,Adult,NO,13,15,,Degraded forest+Pine forest,25/05/2021,May,2021,17:58:21,Resting in shade,1120,90,171,138,147,,,,,,,,,0,Nuchal & 1&2R marginals broken.,,,,,,,,,,,,
318,C,F,Adult,NO,12,15,,Degraded forest+Pine forest,25/05/2021,May,2021,18:02:37,Moving,1318,95,180,135,141,,,,,,,,,0,,,,,,,,,,,,,
319,C,F,Immature,NO,,7,,Degraded forest+Pine forest,25/05/2021,May,2021,18:05:53,Moving,460,64,122,99,98,,,,,,,,Vertebrals,0,2-5 vertebrals & 2-4R costal damaged. 8-11R marginals also damaged.,,,,,,,,,,,,
320,C,F,Adult,NO,,>25,,Degraded forest+Pine forest,25/05/2021,May,2021,18:12:17,Basking,1580,130,202,150,150,,,,,,,,,0,Yellow shell.,,,,,,,,,,,,
321,C,M,Immature,NO,,10,,Degraded forest+Pine forest,25/05/2021,May,2021,18:16:05,Resting in shade,482,71,127,102,107,,,,,,,,,0,Missing 2 nails from L hind leg.,,,,,,,,,,,,
322,C,F,Adult,NO,,15-25,,Meadow,26/05/2021,May,2021,08:53:38,Courting,1145,94,173,130,127,,,,,,,,,6,Courting with 323,,,,,,,,,,,,
323,C,M,Immature,NO,,8,,Meadow,26/05/2021,May,2021,09:03:38,Courting,492,70,127,104,105,,,,,,,,10 m R,0,"Courting with 322, Marked 200 at 10m R",,,,,,,,,,,,
324,C,M ,Immature,NO,,2,,Meadow,26/05/2021,May,2021,09:03:15,Basking,18,21,40,35,34,37,37,14,5,9,20,21,,0,,,,,,,,,,,,,
325,C,M,Adult,NO,,11,,Meadow,26/05/2021,May,2021,09:20:39,Moving,564,71,134,106,111,,,,,,,,,23,"2-5 vertebral, 2-4 costal demaged",,,,,,,,,,,,
326,C,F,Adult,NO,12,14,14,Meadow,26/05/2021,May,2021,09:30:53,Moving,1754,103,201,145,150,,,,,,,,,7,,,,,,,,,,,,,
326,R,F,Adult,NO,12,14,14,Degraded forest,22/06/2021,June,2021,09:45:27,Basking,1696,103,203,143,150,,,,,,,,,5,,,,,,,,,,,,,
327,C,F,Adult,NO,11,15,,Meadow,26/05/2021,May,2021,09:31:54,Basking,1317,93,183,133,134,,,,,,,,,0,,,,,,,,,,,,,
327,R,F,Adult,NO,14,18,,Meadow,21/06/2021,June,2021,10:15:12,Nesting,1257,93,184,133,135,,,,,,,,,0,supraclaudal ventral is chipped away,,,,,,,,,,,,
328,C,F,Adult,NO,14,19,,Meadow,26/05/2021,May,2021,09:39:43,Moving,1362,93,186,134,140,,,,,,,,,6,hole in supraclaudal ,,,,,,,,,,,,
329,C,F,Immature,NO,,5,,Meadow,26/05/2021,May,2021,10:00:20,Chasing,338,60,110,92,96,,,,,,,,,4,chasing 330,,,,,,,,,,,,
330,C,M,Adult,NO,14,19,,Meadow,26/05/2021,May,2021,09:59:47,Chasing,1385,98,185,143,153,,,,,,,,,7,"Chased by 329, 3 and 4 vertebrals asymmetrical",,,,,,,,,,,,
331,C,M,Adult,NO,13,16,16,Meadow,26/05/2021,May,2021,10:06:48,Resting in shade,1117,89,174,135,144,,,,,,,,,5,,,,,,,,,,,,,
331,R,M,Adult,NO,14,17,16,Meadow,21/06/2021,June,2021,09:59:40,Resting in shade,1150,89,175,136,144,,,,,,,,,8,,,,,,,,,,,,,
332,C,M,Adult,NO,,15-25,15-25,Meadow,26/05/2021,May,2021,10:14:16,Basking,1471,97,189,154,162,,,,,,,,,14,7 R marginal narrow,,,,,,,,,,,,
332,R,M,Adult,NO,,15-25,15-25,Degraded forest,21/06/2021,June,2021,12:33:07,Moving,1418,98,190,154,162,,,,,,,,,5,,,,,,,,,,,,,
333,C,F,Adult,NO,15,19,,Meadow,26/05/2021,May,2021,10:23:09,Basking,1410,95,190,133,140,,,,,,,,,5,Nuchal leaning towards right,,,,,,,,,,,,
334,C,F,Adult,NO,,"15-25, >25",,Meadow,26/05/2021,May,2021,10:24:20,Moving,1851,102,207,155,155,,,,,,,,,0,"10 R marginals, marked on 10R marginal like 200",,,,,,,,,,,,
334,R,F,Adult,NO,,15-25,,Meadow,21/06/2021,June,2021,10:11:27,Resting in shade,1823,104,208,153,154,,,,,,,,,10,"smooth shell, 10R marginals",,,,,,,,,,,,
335,C,M,Immature,NO,,8,,Degraded forest,26/05/2021,May,2021,10:50:15,Basking,392,64,118,95,96,,,,,,,,,1,,,,,,,,,,,,,
336,C,F,Immature,NO,,7,,Degraded forest,26/05/2021,May,2021,10:50:02,Basking,235,53,97,82,82,,,,,,,,,0,,,,,,,,,,,,,
337,C,M,Adult,NO,,15-25,,Degraded forest+Pine forest,26/05/2021,May,2021,11:24:24,Moving,1531,96,192,146,152,,,,,,,,,0,,,,,,,,,,,,,
337,R,M,Adult,NO,,15-25,,Degraded forest+Pine forest,22/06/2021,June,2021,12:28:30,Moving,1451,95,192,145,152,,,,,,,,,24,,,,,,,,,,,,,
338,C,F,Adult,NO,,"15-25, >25",,Degraded forest,26/05/2021,May,2021,11:25:35,Drinking,2552.2,119,225,172,176,,,,,,,,,0,"Smooth shell, half of marginals surface skin peeled off",,,,,,,,,,,,
339,C,M,Adult,NO,12,14,14,Degraded forest+Pine forest,26/05/2021,May,2021,11:32:47,Resting in shade,939,83,155,128,134,,,,,,,,,0,,,,,,,,,,,,,
339,R,M,Adult,NO,11,14,14,Degraded forest,21/06/2021,June,2021,12:39:31,Resting in shade,945,84,156,127,135,,,,,,,,,2,,,,,,,,,,,,,
340,C,M,Adult,NO,11,15,,Degraded forest+Pine forest,26/05/2021,May,2021,11:38:15,Moving,1198,88,174,141,150,,,,,,,,,0,,,,,,,,,,,,,
341,C,M,Adult,NO,13,17,,Road+Degraded forest,26/05/2021,May,2021,11:49:05,Feeding,1060,84,169,130,136,,,,,,,,,2,deformation between 3&4 vertebral and 2 coastal L,,,,,,,,,,,,
342,C,F,Adult,NO,12,15,,Degraded forest+Pine forest,26/05/2021,May,2021,11:52:20,Resting in shade,1777,107,201,152,158,,,,,,,,,0,hole appear on supraclaudal,,,,,,,,,,,,
343,C,F,Adult,NO,,15-25,15-25,Meadow,26/05/2021,May,2021,12:25:44,Moving,1684,106,198,147,151,,,,,,,,,5,,,,,,,,,,,,,
343,R,F,Adult,NO,,15-25,15-25,Opening,21/06/2021,June,2021,18:31:55,Moving,1710,106,196,146,150,,,,,,,,,0,,,,,,,,,,,,,
344,C,M,Adult,NO,,10,,Degraded forest,26/05/2021,May,2021,18:02:15,Moving,791,80,152,119,127,,,,,,,,,,,,,,,,,,,,,,
345,C,F,Adult,NO,,15-25,,Degraded forest,26/05/2021,May,2021,18:10:15,Moving,1999,102,202,159,162,,,,,,,,,0,smooth shell,,,,,,,,,,,,
345,R,F,Adult,NO,,>25,,Road,03/06/2021,June,2021,10:45:45,Moving,1920,104,203,158,162,,,,,,,,,0,,,,,,,,,,,,,
346,C,M,Adult,NO,12,14,,Degraded forest,26/05/2021,May,2021,18:15:34,Basking,779,77,154,121,126,,,,,,,,,0,,,,,,,,,,,,,
347,C,M,Adult,NO,12,13,,Degraded forest,26/05/2021,May,2021,18:23:36,Burrowed,992,83,167,132,138,,,,,,,,,0,,,,,,,,,,,,,
348,C,F,Adult,NO,,15-25,,Degraded forest,26/05/2021,May,2021,18:26:57,Resting in shade,1641,95,204,150,157,,,,,,,,,5,4-5 vertebral is asimetrical ,,,,,,,,,,,,
349,C,M,Adult,NO,13,15,,Degraded forest,26/05/2021,May,2021,18:32:01,Resting in shade,1188,90,180,135,146,,,,,,,,,2,,,,,,,,,,,,,
350,C,M,Adult,NO,14,18,,Meadow,28/05/2021,May,2021,19:05:31,Burrowed,939,82,159,130,135,,,,,,,,,0,,,,,,,,,,,,,
351,C,NA,Immature,NO,,4,,Meadow,28/05/2021,May,2021,19:27:23,Burrowed,34.4,28,50,45,43,45,45,17,6,11,27,27,,0,Last vertebral triangle-like,,,,,,,,,,,,
352,C,M,Immature,NO,,9,,Degraded forest,29/05/2021,May,2021,10:29:31,Resting in shade,504,69,127,100,101,,,,,,,,,0,5L costals.,,,,,,,,,,,,
353,C,M,Adult,NO,,10,,Degraded forest,29/05/2021,May,2021,10:34:10,Feeding,614,71,138,114,111,,,,,,,,,4,,,,,,,,,,,,,
354,C,M,Immature,NO,,"9, 10",,Degraded forest,29/05/2021,May,2021,10:54:59,Basking,327,60,113,88,86,,,,,,,,,21,,,,,,,,,,,,,
355,C,F,Adult,NO,,14,,Degraded forest,29/05/2021,May,2021,12:35:39,Basking,1424,96,191,138,143,,,,,,,,,0,,,,,,,,,,,,,
356,C,M,Immature,NO,,9,,Degraded forest,29/05/2021,May,2021,12:55:12,Feeding,428,67,122,98,99,,,,,,,,,0,,,,,,,,,,,,,
357,C,M,Adult,NO,12,17,,Degraded forest,29/05/2021,May,2021,12:03:42,Moving,903,80,158,121,131,,,,,,,,,11,1R & 9L marginals damaged.,,,,,,,,,,,,
358,C,M,Adult,NO,10,18,,Degraded forest,29/05/2021,May,2021,13:04:19,Resting in shade,1066,86,170,139,148,,,,,,,,,5,4 L&R costal merged w 5 vertebral. ,,,,,,,,,,,,
359,C,F,Adult,NO,,13,,Pine forest,29/05/2021,May,2021,15:49:03,Basking,927,82,153,118,122,,,,,,,,,0,,,,,,,,,,,,,
360,C,M,Adult,NO,,13,,Pine forest,29/05/2021,May,2021,16:09:39,Basking,800,81,152,116,124,,,,,,,,,9,,,,,,,,,,,,,
361,C,M,Adult,NO,12,12,,Degraded forest,29/05/2021,May,2021,16:33:45,Resting in shade,697,79,141,114,117,,,,,,,,,0,"First vertebral popping out, second 2mR mistakenly marked",,,,,,,,,,,,
362,C,M,Adult,NO,11,12,,Degraded forest,29/05/2021,May,2021,16:34:42,Resting in shade,585,71,134,106,107,,,,,,,,,3,4&5 vertebrals kind of asymmetric,,,,,,,,,,,,
363,C,F,Adult,NO,,15-25,,Degraded forest,03/06/2021,June,2021,11:29:04,Feeding,1702,98,197,147,149,,,,,,,,,0,big hole in carapace,,,,,,,,,,,,
364,C,F,Adult,NO,12,15,,Road,03/06/2021,June,2021,11:37:45,Resting in shade,1460,92,191,143,145,,,,,,,,,8,,,,,,,,,,,,,
365,C,F,Adult,NO,11,22,,Degraded forest,03/06/2021,June,2021,11:50:25,Moving,1545,97,196,137,144,,,,,,,,,12,,,,,,,,,,,,,
366,C,F,Adult,NO,,15-25,,Degraded forest,03/06/2021,June,2021,12:02:31,Moving,1493,96,201,142,148,,,,,,,,,20,yellow shell,,,,,,,,,,,,
